Unnamed: 0,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,0.7,0.0,1.9,0.076,34.0,0.9978,3.51,0.56,9.4,0
1,0.88,0.0,2.6,0.098,67.0,0.9968,3.2,0.68,9.8,0
2,0.76,0.04,2.3,0.092,54.0,0.997,3.26,0.65,9.8,0
3,0.28,0.56,1.9,0.075,60.0,0.998,3.16,0.58,9.8,1
5,0.66,0.0,1.8,0.075,40.0,0.9978,3.51,0.56,9.4,0
6,0.6,0.06,1.6,0.069,59.0,0.9964,3.3,0.46,9.4,0
7,0.65,0.0,1.2,0.065,21.0,0.9946,3.39,0.47,10.0,1
8,0.58,0.02,2.0,0.073,18.0,0.9968,3.36,0.57,9.5,1
10,0.58,0.08,1.8,0.0969999999999999,65.0,0.9959,3.28,0.54,9.2,0
12,0.615,0.0,1.6,0.089,59.0,0.9943,3.58,0.52,9.9,0
16,0.28,0.56,1.8,0.092,103.0,0.9969,3.3,0.75,10.5,1
20,0.22,0.48,1.8,0.077,60.0,0.9968,3.39,0.53,9.4,1
21,0.39,0.31,2.3,0.0819999999999999,71.0,0.9982,3.52,0.65,9.7,0
22,0.43,0.21,1.6,0.106,37.0,0.9966,3.17,0.91,9.5,0
23,0.49,0.11,2.3,0.084,67.0,0.9968,3.17,0.53,9.4,0
24,0.4,0.14,2.4,0.085,40.0,0.9968,3.43,0.63,9.7,1
25,0.39,0.16,1.4,0.08,23.0,0.9955,3.34,0.56,9.3,0
26,0.41,0.24,1.8,0.08,11.0,0.9962,3.28,0.59,9.5,0
28,0.71,0.0,1.9,0.08,35.0,0.9972,3.47,0.55,9.4,0
29,0.645,0.0,2.0,0.0819999999999999,16.0,0.9964,3.38,0.59,9.8,1
30,0.675,0.07,2.4,0.089,82.0,0.9958,3.35,0.54,10.1,0
31,0.685,0.0,2.5,0.105,37.0,0.9966,3.46,0.57,10.6,1
32,0.655,0.12,2.3,0.083,113.0,0.9966,3.17,0.66,9.8,0
34,0.32,0.25,1.8,0.103,50.0,0.9957,3.38,0.55,9.2,0
36,0.6,0.14,2.4,0.086,15.0,0.9975,3.42,0.6,10.8,1
37,0.38,0.28,2.1,0.066,30.0,0.9968,3.23,0.73,9.7,1
41,0.61,0.3,2.8,0.088,46.0,0.9976,3.26,0.51,9.3,0
44,0.67,0.02,1.8,0.05,11.0,0.9962,3.48,0.52,9.5,0
46,0.935,0.43,2.2,0.114,114.0,0.997,3.25,0.73,9.2,0
47,0.29,0.52,1.6,0.113,37.0,0.9969,3.25,0.58,9.5,0
48,0.4,0.23,1.6,0.066,12.0,0.9958,3.34,0.56,9.2,0
49,0.31,0.37,1.4,0.074,96.0,0.9954,3.32,0.58,9.2,0
50,0.66,0.26,1.7,0.074,23.0,0.9971,3.15,0.74,9.2,0
51,0.52,0.04,2.2,0.069,15.0,0.9956,3.4,0.63,9.4,1
52,0.5,0.04,2.1,0.068,14.0,0.9955,3.39,0.64,9.4,1
53,0.38,0.36,3.0,0.081,119.0,0.997,3.2,0.56,9.4,0
54,0.51,0.15,2.8,0.11,73.0,0.9955,3.17,0.63,10.2,1
56,0.42,0.57,3.4,0.07,10.0,0.9971,3.04,0.63,9.6,0
58,0.59,0.18,2.3,0.076,54.0,0.9975,3.43,0.59,10.0,0
59,0.39,0.31,2.4,0.074,46.0,0.9962,3.41,0.54,9.4,1
60,0.4,0.4,2.2,0.079,52.0,0.998,3.44,0.64,9.2,0
61,0.69,0.49,1.8,0.115,112.0,0.9968,3.21,0.71,9.3,0
62,0.52,0.16,1.9,0.085,35.0,0.9968,3.38,0.62,9.5,1
63,0.735,0.05,2.0,0.081,54.0,0.9966,3.39,0.57,9.8,0
66,0.52,0.11,1.5,0.079,39.0,0.9968,3.42,0.58,9.6,0
67,0.705,0.07,1.6,0.076,15.0,0.9962,3.44,0.58,10.7,0
68,0.32,0.57,2.0,0.074,65.0,0.9969,3.28,0.79,10.7,0
69,0.705,0.05,1.9,0.074,19.0,0.9962,3.34,0.95,10.5,1
70,0.63,0.08,1.9,0.076,27.0,0.9967,3.32,0.54,9.5,1
71,0.67,0.23,2.1,0.088,96.0,0.9962,3.32,0.48,9.5,0
72,0.69,0.22,1.9,0.084,94.0,0.9961,3.31,0.48,9.5,0
73,0.675,0.26,2.1,0.084,43.0,0.9976,3.31,0.53,9.2,0
74,0.32,0.54,2.5,0.094,83.0,0.9984,3.28,0.82,9.6,0
75,0.41,0.64,2.2,0.093,42.0,0.9986,3.54,0.66,10.5,0
77,0.785,0.0,2.4,0.104,30.0,0.9966,3.52,0.55,10.7,1
78,0.75,0.12,2.0,0.086,80.0,0.9958,3.38,0.52,10.1,0
80,0.45,0.2,1.6,0.069,15.0,0.9958,3.41,0.56,9.2,0
82,0.5,0.47,2.0,0.086,73.0,0.997,3.36,0.57,9.1,0
84,0.3,0.48,1.8,0.069,61.0,0.9959,3.44,0.78,10.3,1
85,0.55,0.15,2.2,0.076,40.0,0.9961,3.41,0.59,10.1,0
87,0.49,0.26,1.9,0.062,31.0,0.9966,3.39,0.64,9.6,0
89,0.62,0.08,1.8,0.076,24.0,0.9978,3.48,0.53,9.0,0
96,0.775,0.0,3.0,0.102,23.0,0.9965,3.45,0.56,10.7,0
97,0.5,0.25,2.0,0.07,22.0,0.9963,3.25,0.63,9.2,0
98,0.9,0.06,2.5,0.079,10.0,0.9967,3.39,0.56,9.8,0
99,0.545,0.18,1.9,0.08,35.0,0.9972,3.3,0.59,9.0,1
100,0.61,0.3,2.1,0.084,50.0,0.9972,3.4,0.61,10.2,1
101,0.5,0.3,1.9,0.075,22.0,0.9959,3.31,0.56,10.4,1
